id	split	baseline	v1	v2
title-highlight-hype-valorant	all	1.000	1.000	1.000
title-highlight-funny-fallguys	all	1.000	1.000	1.000
title-tutorial-competitive-eldenring	all	1.000		1.000
title-tutorial-casual-stardew	all	1.000	1.000	1.000
title-montage-hype-apex	all	1.000	1.000	1.000
title-montage-funny-amongus	all	1.000	1.000	1.000
title-vlog-casual-minecraft	all	1.000	1.000	1.000
title-vlog-competitive-rocketleague	all	1.000	1.000	1.000
title-recap-hype-cs2	all	1.000	1.000	1.000
title-recap-funny-justchatting	all	1.000	1.000	1.000
title-edge-longtopic-maxkeywords	all	1.000	1.000	1.000
title-edge-nonascii-nokeywords	all	1.000	1.000	1.000
desc-valorant-nosocial	all	1.000		
desc-minecraft-1social	all	1.000		
desc-eldenring-2social	all	1.000		
desc-fallguys-maxkeywords	all	1.000		
desc-apex-1social	all	1.000		
desc-stardew-nosocial	all	1.000		
desc-rocketleague-1social	all	1.000		
desc-cs2-nosocial	all	1.000		
desc-amongus-nokeywords-nosocial	all	1.000		
desc-justchatting-3social	all	1.000		
desc-edge-longtopic-specialchannel	all	1.000		
desc-edge-nonascii	all	1.000		
